count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
23420024	32:c3	1	32	c3	1	4	4	-	-	0	c3	-	-	-	-	-	-	-	-	-	0	0	-	0	1	ret	op@0:8=c3
16070001	32:eb	1	32	ebf6	2	4	4	-	-	0	eb	-	-	-	-	-	-	-	-	-	0	0	0xf6	8	1	jmp short 0xFFFFFFF8	op@0:8=eb imm@8:8=0xf6
16070001	32:eb	1	32	ebe4	2	4	4	-	-	0	eb	-	-	-	-	-	-	-	-	-	0	0	0xe4	8	1	jmp short 0xFFFFFFE6	op@0:8=eb imm@8:8=0xe4
12246798	32:33c0	1	32	33c0	2	4	4	-	-	0	33	-	reg_direct	3	0	0	-	-	-	-	0	8	-	0	1	xor eax, eax	op@0:8=33 mod@14:2=3 reg@11:3=0 rm@8:3=0
8854289	32:e8	1	32	e8f25effff	5	4	4	-	-	0	e8	-	-	-	-	-	-	-	-	-	0	0	0xffff5ef2	32	1	call 0xFFFF5EF7	op@0:8=e8 imm@8:32=0xffff5ef2
8854289	32:e8	1	32	e8bcba0000	5	4	4	-	-	0	e8	-	-	-	-	-	-	-	-	-	0	0	0xbabc	32	1	call 0x0000BAC1	op@0:8=e8 imm@8:32=0xbabc
8682478	32:56	1	32	56	1	4	4	-	-	0	56	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push esi	op@0:8=56
8082246	32:5e	1	32	5e	1	4	4	-	-	0	5e	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pop esi	op@0:8=5e
7524376	32:fa	1	32	fa	1	4	4	-	-	0	fa	-	-	-	-	-	-	-	-	-	0	0	-	0	1	cli	op@0:8=fa
6958484	32:9c	1	32	9c	1	4	4	-	-	0	9c	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pushf	op@0:8=9c
6914158	32:9d	1	32	9d	1	4	4	-	-	0	9d	-	-	-	-	-	-	-	-	-	0	0	-	0	1	popf	op@0:8=9d
6209668	32:0306	1	32	0306	2	4	4	-	-	0	03	-	base	0	0	6	6	-	-	-	0	8	-	0	1	add eax, [esi]	op@0:8=03 mod@14:2=0 reg@11:3=0 rm@8:3=6
6180924	32:f7d8	1	32	f7d8	2	4	4	-	-	0	f7	3	reg_direct	3	3	0	-	-	-	-	0	8	-	0	1	neg eax	op@0:8=f7 mod@14:2=3 reg@11:3=3 rm@8:3=0
6167420	32:33d2	1	32	33d2	2	4	4	-	-	0	33	-	reg_direct	3	2	2	-	-	-	-	0	8	-	0	1	xor edx, edx	op@0:8=33 mod@14:2=3 reg@11:3=2 rm@8:3=2
6136492	32:86e0	1	32	86e0	2	4	4	-	-	0	86	-	reg_direct	3	4	0	-	-	-	-	0	8	-	0	1	xchg ah, al	op@0:8=86 mod@14:2=3 reg@11:3=4 rm@8:3=0
6092298	32:8ae0	1	32	8ae0	2	4	4	-	-	0	8a	-	reg_direct	3	4	0	-	-	-	-	0	8	-	0	1	mov ah, al	op@0:8=8a mod@14:2=3 reg@11:3=4 rm@8:3=0
6089132	32:e4	1	32	e421	2	4	4	-	-	0	e4	-	-	-	-	-	-	-	-	-	0	0	0x21	8	1	in al, 0x21	op@0:8=e4 imm@8:8=0x21
6089132	32:e4	1	32	e4a1	2	4	4	-	-	0	e4	-	-	-	-	-	-	-	-	-	0	0	0xa1	8	1	in al, 0xA1	op@0:8=e4 imm@8:8=0xa1
5108698	32:74	1	32	7406	2	4	4	-	-	0	74	-	-	-	-	-	-	-	-	-	0	0	0x6	8	1	je short 8	op@0:8=74 imm@8:8=0x6
5108698	32:74	1	32	740b	2	4	4	-	-	0	74	-	-	-	-	-	-	-	-	-	0	0	0xb	8	1	je short 0x0000000D	op@0:8=74 imm@8:8=0xb
4364399	32:75	1	32	7539	2	4	4	-	-	0	75	-	-	-	-	-	-	-	-	-	0	0	0x39	8	1	jne short 0x0000003B	op@0:8=75 imm@8:8=0x39
4364399	32:75	1	32	7508	2	4	4	-	-	0	75	-	-	-	-	-	-	-	-	-	0	0	0x8	8	1	jne short 0x0000000A	op@0:8=75 imm@8:8=0x8
4351659	32:77	1	32	771b	2	4	4	-	-	0	77	-	-	-	-	-	-	-	-	-	0	0	0x1b	8	1	ja short 0x0000001D	op@0:8=77 imm@8:8=0x1b
4351659	32:77	1	32	7707	2	4	4	-	-	0	77	-	-	-	-	-	-	-	-	-	0	0	0x7	8	1	ja short 9	op@0:8=77 imm@8:8=0x7
3757780	16:a8	1	16	a801	2	2	2	-	-	0	a8	-	-	-	-	-	-	-	-	-	0	0	0x1	8	1	test al, 1	op@0:8=a8 imm@8:8=0x1
3459438	16:74	1	16	745b	2	2	2	-	-	0	74	-	-	-	-	-	-	-	-	-	0	0	0x5b	8	1	je short 0x005D	op@0:8=74 imm@8:8=0x5b
3459438	16:74	1	16	740f	2	2	2	-	-	0	74	-	-	-	-	-	-	-	-	-	0	0	0xf	8	1	je short 0x0011	op@0:8=74 imm@8:8=0xf
3245682	32:e6	1	32	e621	2	4	4	-	-	0	e6	-	-	-	-	-	-	-	-	-	0	0	0x21	8	1	out 0x21, al	op@0:8=e6 imm@8:8=0x21
3245682	32:e6	1	32	e6a1	2	4	4	-	-	0	e6	-	-	-	-	-	-	-	-	-	0	0	0xa1	8	1	out 0xA1, al	op@0:8=e6 imm@8:8=0xa1
3215358	32:be	1	32	be10270000	5	4	4	-	-	0	be	-	-	-	-	-	-	-	-	-	0	0	0x2710	32	1	mov esi, 0x2710	op@0:8=be imm@8:32=0x2710
3215358	32:be	1	32	be40420f00	5	4	4	-	-	0	be	-	-	-	-	-	-	-	-	-	0	0	0xf4240	32	1	mov esi, 0xF4240	op@0:8=be imm@8:32=0xf4240
3205911	32:2b46	1	32	2b4638	3	4	4	-	-	0	2b	-	base_d8	1	0	6	6	-	-	56	8	16	-	0	1	sub eax, [esi+0x38]	op@0:8=2b mod@14:2=1 reg@11:3=0 rm@8:3=6 disp@16:8=56
3205911	32:2b46	1	32	2b462c	3	4	4	-	-	0	2b	-	base_d8	1	0	6	6	-	-	44	8	16	-	0	1	sub eax, [esi+0x2C]	op@0:8=2b mod@14:2=1 reg@11:3=0 rm@8:3=6 disp@16:8=44
3201794	32:8946	1	32	8946fc	3	4	4	-	-	0	89	-	base_d8	1	0	6	6	-	-	-4	8	16	-	0	1	mov [esi-4], eax	op@0:8=89 mod@14:2=1 reg@11:3=0 rm@8:3=6 disp@16:8=-4
