bytes                   , mode, len,    count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                      , res             , end_expr         , end, end_ok, text
c3                      ,   32,   1, 23420024,  0,   0,   4,   4,    ,      , retn       , retn                  ,                                                                                           , ret=1           , 8                ,   8,      1, ret
ebf6                    ,   32,   2, 16070001,  0,   0,   4,   4,    ,      , jmp_rel8   , jmp_rel8              , rel8=0xf6@8:8                                                                             , branch=3        , 8 + 8            ,  16,      1, jmp short 0xFFFFFFF8
ebe4                    ,   32,   2, 16070001,  0,   0,   4,   4,    ,      , jmp_rel8   , jmp_rel8              , rel8=0xe4@8:8                                                                             , branch=3        , 8 + 8            ,  16,      1, jmp short 0xFFFFFFE6
33c0                    ,   32,   2, 12246798,  0,   0,   4,   4,    ,      , xor_rm     , xor_rm                , "modrm8{kind=reg_direct,mod=3,reg=0,rm=0};w=1                                              ", alu=5           , @modrm8          ,  16,      1, "xor eax, eax                            "
e8f25effff              ,   32,   5,  8854289,  0,   0,   4,   4,    ,      , call_rel   , call_rel              , rel=0xffff5ef2@8:32                                                                       , call=1          , 8 + p.osz*8      ,  40,      1, call 0xFFFF5EF7
e8bcba0000              ,   32,   5,  8854289,  0,   0,   4,   4,    ,      , call_rel   , call_rel              , rel=0xbabc@8:32                                                                           , call=1          , 8 + p.osz*8      ,  40,      1, call 0x0000BAC1
56                      ,   32,   1,  8682478,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=6                                                                                   , stack=1         , 8                ,   8,      1, push esi
5e                      ,   32,   1,  8082246,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=6                                                                                   , stack=2         , 8                ,   8,      1, pop esi
fa                      ,   32,   1,  7524376,  0,   0,   4,   4,    ,      , cli        , cli                   ,                                                                                           , priv=1          , 8                ,   8,      1, cli
9c                      ,   32,   1,  6958484,  0,   0,   4,   4,    ,      , pushf      , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , pushf
9d                      ,   32,   1,  6914158,  0,   0,   4,   4,    ,      , popf       , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , popf
0306                    ,   32,   2,  6209668,  0,   0,   4,   4,    ,      , add_rm     , add_rm                , "modrm8{kind=base,mod=0,reg=0,rm=6,b=6};w=1                                                ", alu=3           , @modrm8          ,  16,      1, "add eax, [esi]                          "
f7d8                    ,   32,   2,  6180924,  0,   0,   4,   4,    ,      , neg_m      , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , neg eax
33d2                    ,   32,   2,  6167420,  0,   0,   4,   4,    ,      , xor_rm     , xor_rm                , "modrm8{kind=reg_direct,mod=3,reg=2,rm=2};w=1                                              ", alu=5           , @modrm8          ,  16,      1, "xor edx, edx                            "
86e0                    ,   32,   2,  6136492,  0,   0,   4,   4,    ,      , xchg_mr    , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "xchg ah, al                             "
8ae0                    ,   32,   2,  6092298,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=4,rm=0}                                                  ", move=1          , @modrm8          ,  16,      1, "mov ah, al                              "
e421                    ,   32,   2,  6089132,  0,   0,   4,   4,    ,      , in_i       , in_i                  , imm8=0x21@8:8;w=0                                                                         , io=1            , 8 + 8            ,  16,      1, "in al, 0x21                             "
e4a1                    ,   32,   2,  6089132,  0,   0,   4,   4,    ,      , in_i       , in_i                  , imm8=0xa1@8:8;w=0                                                                         , io=1            , 8 + 8            ,  16,      1, "in al, 0xA1                             "
7406                    ,   32,   2,  5108698,  0,   0,   4,   4,    ,      , jshort     , jshort.z              , rel8=0x6@8:8                                                                              , branch=1        , 8 + 8            ,  16,      1, je short 8
740b                    ,   32,   2,  5108698,  0,   0,   4,   4,    ,      , jshort     , jshort.z              , rel8=0xb@8:8                                                                              , branch=1        , 8 + 8            ,  16,      1, je short 0x0000000D
7539                    ,   32,   2,  4364399,  0,   0,   4,   4,    ,      , jshort     , jshort.nz             , rel8=0x39@8:8                                                                             , branch=2        , 8 + 8            ,  16,      1, jne short 0x0000003B
7508                    ,   32,   2,  4364399,  0,   0,   4,   4,    ,      , jshort     , jshort.nz             , rel8=0x8@8:8                                                                              , branch=2        , 8 + 8            ,  16,      1, jne short 0x0000000A
771b                    ,   32,   2,  4351659,  0,   0,   4,   4,    ,      , jshort     , jshort.nbe            , rel8=0x1b@8:8                                                                             , branch=8        , 8 + 8            ,  16,      1, ja short 0x0000001D
7707                    ,   32,   2,  4351659,  0,   0,   4,   4,    ,      , jshort     , jshort.nbe            , rel8=0x7@8:8                                                                              , branch=8        , 8 + 8            ,  16,      1, ja short 9
a801                    ,   16,   2,  3757780,  0,   0,   2,   2,    ,      , test_ai    , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "test al, 1                              "
745b                    ,   16,   2,  3459438,  0,   0,   2,   2,    ,      , jshort     , jshort.z              , rel8=0x5b@8:8                                                                             , branch=1        , 8 + 8            ,  16,      1, je short 0x005D
740f                    ,   16,   2,  3459438,  0,   0,   2,   2,    ,      , jshort     , jshort.z              , rel8=0xf@8:8                                                                              , branch=1        , 8 + 8            ,  16,      1, je short 0x0011
e621                    ,   32,   2,  3245682,  0,   0,   4,   4,    ,      , out_i      , out_i                 , imm8=0x21@8:8;w=0                                                                         , io=2            , 8 + 8            ,  16,      1, "out 0x21, al                            "
e6a1                    ,   32,   2,  3245682,  0,   0,   4,   4,    ,      , out_i      , out_i                 , imm8=0xa1@8:8;w=0                                                                         , io=2            , 8 + 8            ,  16,      1, "out 0xA1, al                            "
be10270000              ,   32,   5,  3215358,  0,   0,   4,   4,    ,      , mov_riv    , mov_riv               , opreg=6;immz=0x2710@8:32                                                                  , load_imm=2      , 8 + p.osz*8      ,  40,      1, "mov esi, 0x2710                         "
be40420f00              ,   32,   5,  3215358,  0,   0,   4,   4,    ,      , mov_riv    , mov_riv               , opreg=6;immz=0xf4240@8:32                                                                 , load_imm=2      , 8 + p.osz*8      ,  40,      1, "mov esi, 0xF4240                        "
2b4638                  ,   32,   3,  3205911,  0,   0,   4,   4,    ,      , sub_rm     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "sub eax, [esi+0x38]                     "
2b462c                  ,   32,   3,  3205911,  0,   0,   4,   4,    ,      , sub_rm     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "sub eax, [esi+0x2C]                     "
8946fc                  ,   32,   3,  3201794,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base_d8,mod=1,reg=0,rm=6,b=6,disp=-4@16:8};w=1                                ", move=3          , @modrm8          ,  24,      1, "mov [esi-4], eax                        "
