#count	mode	opcode	ext	mnemonic	rm
869957578	32	74	-	?	r
593952279	32	8B	-	?	m
461842734	32	75	-	?	r
359440543	32	85	-	?	r
325641220	32	33	-	?	r
263774671	32	C3	-	?	r
247856086	32	F6	/0	?	m
244790732	32	81	/7	?	m
243720377	32	80	/7	?	m
223118655	32	83	/7	?	m
215634165	32	8A	-	?	m
181079291	32	0F 84	-	?	r
180436368	32	FA	-	?	r
178196706	32	0F 85	-	?	r
174865578	32	8B	-	?	r
173791276	32	E8	-	?	r
173788006	32	90	-	?	r
169763416	32	3B	-	?	m
164100492	32	EB	-	?	r
157011743	32	80	/4	?	r
142752323	32	73	-	?	r
138921536	32	22	-	?	r
110814870	16	8B	-	?	m
103613708	16	75	-	?	r
96797040	32	56	-	?	r
95358747	32	5E	-	?	r
93520588	32	FF	/2	?	m
90005680	32	E9	-	?	r
88864416	32	FB	-	?	r
87375400	32	F6	/0	?	r
86925407	16	C3	-	?	r
79749286	16	74	-	?	r
77487113	32	39	-	?	m
75400050	32	8D	-	?	m
73894961	32	85	-	?	m
73633190	32	55	-	?	r
72528587	32	A1	-	?	r
72477624	32	5D	-	?	r
72395251	32	B8	-	?	r
72062324	32	51	-	?	r
71837559	16	89	-	?	r
71821906	32	B9	-	?	r
71545727	32	59	-	?	r
71338135	32	81	/4	?	r
70370314	32	83	/4	?	r
69967378	32	F6	/2	?	r
69664397	32	0C	-	?	r
69585364	16	E8	-	?	r
69338788	32	80	/0	?	r
69330529	32	D0	/2	?	r
69330529	32	D0	/3	?	r
62265892	16	89	-	?	m
59490279	16	8E	-	?	r
54867915	16	31	-	?	r
54294544	16	8C	-	?	r
48894937	16	85	-	?	r
36413892	32	89	-	?	r
33624450	16	3D	-	?	r
32385860	16	0F B7	-	?	r
31083717	16	53	-	?	r
31054155	16	5B	-	?	r
30444003	16	8B	-	?	r
28576770	32	89	-	?	m
25851366	16	8A	-	?	m
25838668	16	81	/7	?	r
25098533	16	8E	-	?	m
23834222	16	50	-	?	r
23677337	16	58	-	?	r
21496651	16	EB	-	?	r
20572112	16	A8	-	?	r
20489496	16	5E	-	?	r
20446646	16	C1	/1	?	r
20404723	16	A3	-	?	r
20307919	16	FA	-	?	r
20213969	16	90	-	?	r
19535521	16	56	-	?	r
19331915	16	57	-	?	r
19306013	16	A1	-	?	r
19229914	16	5F	-	?	r
18731102	16	88	-	?	m
17603860	32	88	-	?	m
17603160	32	49	-	?	r
17410021	16	E9	-	?	r
17168886	16	A2	-	?	r
17165152	16	EC	-	?	r
16967007	16	FC	-	?	r
16830094	16	FF	/2	?	r
16818530	16	B9	-	?	r
16168957	16	83	/7	?	m
16150104	16	FB	-	?	r
15859356	16	33	-	?	r
15366954	16	1E	-	?	r
15195609	16	1F	-	?	r
15011412	16	0B	-	?	r
14385010	16	72	-	?	r
13505063	16	C4	-	?	m
13453407	16	9A	-	?	r
13448544	16	8C	-	?	m
13070477	16	C1	/5	?	r
12917994	16	80	/7	?	m
12915705	16	51	-	?	r
12905945	16	CB	-	?	r
12734767	16	59	-	?	r
12450663	16	80	/7	?	r
12297189	16	39	-	?	m
12269864	16	2B	-	?	m
12203328	16	1B	-	?	m
11321697	16	76	-	?	r
11310392	32	53	-	?	r
11310366	32	5B	-	?	r
11154190	16	8F	/0	?	m
10765501	16	0F 97	/0	?	r
10699360	16	C1	/4	?	r
10091969	16	B8	-	?	r
9964624	32	72	-	?	r
9821256	16	8A	-	?	r
9459818	16	73	-	?	r
9252051	16	5A	-	?	r
9245275	16	8D	-	?	m
9177502	16	F6	/0	?	m
9153462	16	F6	/0	?	r
9118398	16	FF	/6	?	m
9086031	16	F7	/0	?	m
8903508	16	E2	-	?	r
8870210	32	77	-	?	r
8781383	16	0F B6	-	?	r
8761945	16	D3	/5	?	r
8748165	16	0F 31	-	?	r
8748165	16	0F AD	-	?	r
8746505	16	29	-	?	r
8741964	16	0F 9F	/0	?	r
