count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
3026803	32:75	1	32	7539	2	4	4	-	-	0	75	-	-	-	-	-	-	-	-	-	0	0	0x39	8	1	jne short 0x0000003B	op@0:8=75 imm@8:8=0x39
3026803	32:75	1	32	7508	2	4	4	-	-	0	75	-	-	-	-	-	-	-	-	-	0	0	0x8	8	1	jne short 0x0000000A	op@0:8=75 imm@8:8=0x8
2276222	32:74	1	32	7406	2	4	4	-	-	0	74	-	-	-	-	-	-	-	-	-	0	0	0x6	8	1	je short 8	op@0:8=74 imm@8:8=0x6
2276222	32:74	1	32	740b	2	4	4	-	-	0	74	-	-	-	-	-	-	-	-	-	0	0	0xb	8	1	je short 0x0000000D	op@0:8=74 imm@8:8=0xb
1754792	32:56	1	32	56	1	4	4	-	-	0	56	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push esi	op@0:8=56
1617078	32:c2	1	32	c20c00	3	4	4	-	-	0	c2	-	-	-	-	-	-	-	-	-	0	0	0xc	16	1	ret 0xC	op@0:8=c2 imm@8:16=0xc
1548924	32:85c0	1	32	85c0	2	4	4	-	-	0	85	-	reg_direct	3	0	0	-	-	-	-	0	8	-	0	1	test eax, eax	op@0:8=85 mod@14:2=3 reg@11:3=0 rm@8:3=0
1444272	32:57	1	32	57	1	4	4	-	-	0	57	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push edi	op@0:8=57
1396120	32:50	1	32	50	1	4	4	-	-	0	50	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push eax	op@0:8=50
1361620	32:8b45	1	32	8b4500	3	4	4	-	-	0	8b	-	base_d8	1	0	5	5	-	-	0	8	16	-	0	1	mov eax, [ebp]	op@0:8=8b mod@14:2=1 reg@11:3=0 rm@8:3=5 disp@16:8=0
1361620	32:8b45	1	32	8b4510	3	4	4	-	-	0	8b	-	base_d8	1	0	5	5	-	-	16	8	16	-	0	1	mov eax, [ebp+0x10]	op@0:8=8b mod@14:2=1 reg@11:3=0 rm@8:3=5 disp@16:8=16
1275116	32:5e	1	32	5e	1	4	4	-	-	0	5e	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pop esi	op@0:8=5e
1243996	32:53	1	32	53	1	4	4	-	-	0	53	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push ebx	op@0:8=53
1164826	32:55	1	32	55	1	4	4	-	-	0	55	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push ebp	op@0:8=55
1089960	32:5d	1	32	5d	1	4	4	-	-	0	5d	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pop ebp	op@0:8=5d
1052958	32:e8	1	32	e8f25effff	5	4	4	-	-	0	e8	-	-	-	-	-	-	-	-	-	0	0	0xffff5ef2	32	1	call 0xFFFF5EF7	op@0:8=e8 imm@8:32=0xffff5ef2
1052958	32:e8	1	32	e8bcba0000	5	4	4	-	-	0	e8	-	-	-	-	-	-	-	-	-	0	0	0xbabc	32	1	call 0x0000BAC1	op@0:8=e8 imm@8:32=0xbabc
