bytes                 , mode, len,   count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                   , res             , end_expr         , end, end_ok, text
7539                  ,   32,   2, 3026803,  0,   0,   4,   4,    ,      , jshort     , jshort.nz             , rel8=0x39@8:8                                                                          , branch=2        , 8 + 8            ,  16,      1, jne short 0x0000003B
7508                  ,   32,   2, 3026803,  0,   0,   4,   4,    ,      , jshort     , jshort.nz             , rel8=0x8@8:8                                                                           , branch=2        , 8 + 8            ,  16,      1, jne short 0x0000000A
7406                  ,   32,   2, 2276222,  0,   0,   4,   4,    ,      , jshort     , jshort.z              , rel8=0x6@8:8                                                                           , branch=1        , 8 + 8            ,  16,      1, je short 8
740b                  ,   32,   2, 2276222,  0,   0,   4,   4,    ,      , jshort     , jshort.z              , rel8=0xb@8:8                                                                           , branch=1        , 8 + 8            ,  16,      1, je short 0x0000000D
56                    ,   32,   1, 1754792,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=6                                                                                , stack=1         , 8                ,   8,      1, push esi
c20c00                ,   32,   3, 1617078,  0,   0,   4,   4,    ,      , retn_i     , retn_i                , imm16=0xc@8:16                                                                         , ret=2           , 8 + 16           ,  24,      1, ret 0xC
85c0                  ,   32,   2, 1548924,  0,   0,   4,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=0};w=1                                           ", alu=7           , @modrm8          ,  16,      1, "test eax, eax                         "
57                    ,   32,   1, 1444272,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=7                                                                                , stack=1         , 8                ,   8,      1, push edi
50                    ,   32,   1, 1396120,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=0                                                                                , stack=1         , 8                ,   8,      1, push eax
8b4500                ,   32,   3, 1361620,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=0@16:8};w=1                              ", move=2          , @modrm8          ,  24,      1, "mov eax, [ebp]                        "
8b4510                ,   32,   3, 1361620,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=16@16:8};w=1                             ", move=2          , @modrm8          ,  24,      1, "mov eax, [ebp+0x10]                   "
5e                    ,   32,   1, 1275116,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=6                                                                                , stack=2         , 8                ,   8,      1, pop esi
53                    ,   32,   1, 1243996,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=3                                                                                , stack=1         , 8                ,   8,      1, push ebx
55                    ,   32,   1, 1164826,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=5                                                                                , stack=1         , 8                ,   8,      1, push ebp
5d                    ,   32,   1, 1089960,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=5                                                                                , stack=2         , 8                ,   8,      1, pop ebp
e8f25effff            ,   32,   5, 1052958,  0,   0,   4,   4,    ,      , call_rel   , call_rel              , rel=0xffff5ef2@8:32                                                                    , call=1          , 8 + p.osz*8      ,  40,      1, call 0xFFFF5EF7
e8bcba0000            ,   32,   5, 1052958,  0,   0,   4,   4,    ,      , call_rel   , call_rel              , rel=0xbabc@8:32                                                                        , call=1          , 8 + p.osz*8      ,  40,      1, call 0x0000BAC1
5f                    ,   32,   1, 1051180,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=7                                                                                , stack=2         , 8                ,   8,      1, pop edi
8bec                  ,   32,   2,  935942,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=5,rm=4}                                               ", move=1          , @modrm8          ,  16,      1, "mov ebp, esp                          "
5b                    ,   32,   1,  915108,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=3                                                                                , stack=2         , 8                ,   8,      1, pop ebx
