#count	mode	opcode	ext	mnemonic
#total-instructions	1004351858
#prefix	66	opsize	286143810
#prefix	67	addrsize	20504527
#prefix	26	es	11912492
#prefix	2E	cs	9741350
#prefix	F3	rep	5507073
#prefix	64	fs	2338807
#prefix	3E	ds	80583
#prefix	F2	repnz	35772
#prefix	36	ss	3793
#prefix	F0	lock	79
50755495	32	8B	-	?	m
37370323	16	C3	-	?	r
34918487	32	75	-	?	r
32469467	16	E8	-	?	r
30782988	16	75	-	?	r
29403975	16	89	-	?	r
26907869	16	8B	-	?	m
25816814	16	8E	-	?	r
24608262	32	8B	-	?	r
24422571	16	31	-	?	r
24355313	16	85	-	?	r
19795334	32	89	-	?	m
19541176	16	8C	-	?	r
18479333	32	83	/5	?	r
17547416	16	A1	-	?	r
14753304	16	74	-	?	r
14645962	16	0F B7	-	?	r
14637219	16	3D	-	?	r
13722600	32	85	-	?	r
12467956	32	74	-	?	r
11650523	32	83	/0	?	r
11647434	16	39	-	?	m
11420298	32	03	-	?	r
10762359	16	FA	-	?	r
10734913	16	FB	-	?	r
10013389	16	89	-	?	m
9879336	16	90	-	?	r
9845539	16	53	-	?	r
9845396	16	5B	-	?	r
9759418	16	81	/7	?	r
8334845	32	C1	/5	?	r
8153658	16	EC	-	?	r
7554960	32	81	/4	?	r
7206369	16	A8	-	?	r
7013501	32	8D	-	?	m
6711573	16	0F 85	-	?	r
6651903	32	0F B7	-	?	m
6432778	32	E8	-	?	r
6129076	32	83	/7	?	m
6036261	32	C2	-	?	r
5936745	16	58	-	?	r
5934617	32	56	-	?	r
5886524	16	50	-	?	r
5884924	16	33	-	?	r
5873093	16	73	-	?	r
5832147	16	A3	-	?	r
5832014	16	07	-	?	r
5832000	16	06	-	?	r
5831926	16	0F 82	-	?	r
5625262	32	FF	/6	?	m
5195664	32	33	-	?	r
5052108	32	4A	-	?	r
4993532	16	8A	-	?	m
4989293	16	EB	-	?	r
4971518	16	E9	-	?	r
4962430	16	56	-	?	r
4949584	16	5E	-	?	r
4922273	16	57	-	?	r
4922244	16	5F	-	?	r
4914444	16	88	-	?	m
4905256	16	FC	-	?	r
4905071	16	FF	/2	?	r
4895469	16	76	-	?	r
4881939	16	B9	-	?	r
4877887	16	0F 97	/0	?	r
4872110	16	8D	-	?	m
4857112	16	0F B6	-	?	r
4855178	16	F6	/0	?	r
4855176	16	D3	/5	?	r
4855176	16	0F 31	-	?	r
4855176	16	0F AD	-	?	r
4854418	16	29	-	?	r
4852579	16	0F 9F	/0	?	r
4711959	32	57	-	?	r
4569202	32	5E	-	?	r
4541128	32	3B	-	?	r
4206716	32	53	-	?	r
4178279	32	FF	/0	?	m
4039524	32	83	/7	?	r
3844995	32	39	-	?	m
3723129	32	55	-	?	r
3559003	32	5F	-	?	r
3533174	32	EB	-	?	r
3487705	32	5D	-	?	r
3385193	32	5B	-	?	r
3332576	32	88	-	?	m
3217466	32	0F 85	-	?	r
3164389	32	8A	-	?	m
3022942	32	77	-	?	r
3019787	32	0F B6	-	?	m
2940922	32	72	-	?	r
2933106	32	50	-	?	r
2794116	32	A1	-	?	r
2756003	32	FF	/1	?	m
2717902	32	C7	/0	?	m
2584975	32	0F 84	-	?	r
2580121	32	C3	-	?	r
2414636	32	3D	-	?	r
2328122	16	8B	-	?	r
2312828	32	80	/7	?	m
2291365	32	F6	/0	?	m
2284129	16	83	/0	?	r
2263638	16	55	-	?	r
2263606	16	5D	-	?	r
2258828	16	52	-	?	r
2145767	32	03	-	?	m
2092570	32	83	/0	?	m
2079401	32	FF	/2	?	m
1972685	32	6B	-	?	r
1803285	32	76	-	?	r
1607325	32	83	/4	?	r
1584561	32	2B	-	?	r
1482405	32	6A	-	?	r
1408626	32	3B	-	?	m
1361851	32	0F B7	-	?	r
1228741	32	51	-	?	r
1218704	32	C1	/4	?	r
1178402	32	81	/7	?	r
1107357	32	B8	-	?	r
1093903	32	49	-	?	r
1057114	32	68	-	?	r
1045718	32	73	-	?	r
917762	32	B9	-	?	r
871227	32	FA	-	?	r
864405	32	40	-	?	r
806479	32	52	-	?	r
801844	32	C6	/0	?	m
791656	32	E9	-	?	r
791415	32	84	-	?	r
782402	32	69	-	?	r
765779	32	80	/4	?	r
760483	32	25	-	?	r
683569	32	0F 82	-	?	r
680840	32	38	-	?	m
675620	32	47	-	?	r
660763	32	81	/7	?	m
660274	32	F7	/0	?	m
659110	32	B0	-	?	r
656379	32	F7	/0	?	r
650830	32	D1	/5	?	r
642188	32	A8	-	?	r
631825	32	8A	-	?	r
624143	32	46	-	?	r
614727	32	4E	-	?	r
597737	32	FB	-	?	r
579773	32	7D	-	?	r
553603	32	7F	-	?	r
543508	32	23	-	?	m
541172	32	4B	-	?	r
532257	32	23	-	?	r
529089	32	2B	-	?	m
519877	32	24	-	?	r
504736	32	48	-	?	r
497028	32	01	-	?	m
484767	32	81	/0	?	r
477960	32	2D	-	?	r
476237	32	F6	/0	?	r
453176	32	FF	/4	?	m
416299	32	0B	-	?	r
398943	32	43	-	?	r
398243	32	A5	-	?	r
396937	32	0F 87	-	?	r
380467	32	A0	-	?	r
378550	32	4D	-	?	r
374882	32	0F 86	-	?	r
347179	32	29	-	?	m
346872	32	0F 8C	-	?	r
346043	32	7C	-	?	r
343555	32	3A	-	?	r
325786	32	1B	-	?	r
325749	32	78	-	?	r
309447	32	9C	-	?	r
309033	32	9D	-	?	r
308316	32	0F 8F	-	?	r
283742	32	80	/1	?	m
278482	32	BA	-	?	r
264679	32	0F B6	-	?	r
264023	32	83	/5	?	m
263696	32	0B	-	?	m
262630	32	0F C7	/1	?	m
243370	32	AB	-	?	r
234274	32	7E	-	?	r
231298	32	BB	-	?	r
220875	32	41	-	?	r
215833	32	0F 83	-	?	r
208474	16	E2	-	?	r
198148	32	80	/4	?	m
191120	32	90	-	?	r
187586	32	3C	-	?	r
186572	32	42	-	?	r
184308	32	32	-	?	r
175863	32	F7	/6	?	r
171266	32	0F C1	-	?	m
171166	32	F7	/2	?	r
168949	32	0F BE	-	?	m
165155	32	D3	/4	?	r
160357	32	A9	-	?	r
154851	32	A3	-	?	r
153014	32	0F AF	-	?	r
151228	32	C0	/5	?	r
147832	32	81	/5	?	r
140640	32	33	-	?	m
139447	16	B8	-	?	r
139124	32	D3	/5	?	r
134428	32	0A	-	?	r
133682	32	C9	-	?	r
133250	32	BF	-	?	r
133064	32	C1	/7	?	r
